zone,n,rho_hosp_median,rho_hosp_gmean,flipped
"Aberdeen, WA",8,1.56492300103522,1.8037376578360194,False
"Abilene, TX",8,4.100506792650615,3.6246530560619403,True
"Albany--Schenectady, NY",22,1.4688408754247444,1.6482010114835162,False
"Albuquerque, NM",37,1.6494533382342174,2.409381208240827,False
"Alexandria, LA",18,1.5682023053653866,1.5525833727961478,False
"Alexandria, MN",12,2.0072304089084105,2.597553740699315,False
"Allentown--Bethlehem, PA--NJ",26,1.4706496957870603,3.580871790379373,False
"Altoona, PA",14,1.591353937941259,1.7328372304108461,False
"Amarillo, TX",14,3.8404677228308977,10.731000680109487,True
"Ames, IA",8,1.1071438598385996,1.192224725533606,False
"Anchorage, AK",11,0.7973516691906479,2.3887100000413843,True
"Anniston--Oxford, AL",13,1.5319707625804513,2.2469243627198194,False
"Appleton, WI",18,1.1558714768358214,1.172411955679375,False
"Ardmore, OK",17,0.9644748763707854,2.1480373853349684,False
"Arecibo zona urbana, PR",8,2.0700859819554625,2.432816200161253,False
"Asheville, NC",8,1.7461761681583867,1.7300504415323341,False
"Atlanta city, GA",50,1.9953276517452077,1.9789151754884058,False
"Augusta-Richmond County consolidated government (balance), GA",16,1.728126705809256,2.468096576794423,False
"Austin, TX",56,1.6957541351213843,2.4425130039660243,False
"Bakersfield, CA",20,1.0020320821566637,1.6426708567497903,False
"Baltimore, MD",36,2.7447863386705507,2.6233164594079326,False
"Bangor, ME",14,1.7732786585653333,1.5589305572465546,False
"Bartlesville, OK",8,1.4102539325150063,1.5875197853670606,False
"Baton Rouge, LA",41,2.3117948802981725,2.360622941898669,False
"Billings, MT",9,2.5186968340070863,2.683621804568181,False
"Binghamton, NY",11,1.2742289096619688,1.7179744298298878,False
"Birmingham, AL",24,4.0677379291565465,3.4388075960320603,False
"Bismarck, ND",8,0.8351052992978127,1.3682346975499027,False
"Bloomington, IN",8,3.069530547989642,2.4874528320366838,False
"Bluefield, WV--VA",8,2.4564948150227046,2.7811304794746268,False
"Boise City, ID",21,1.722639659854218,1.9770519385027812,False
"Boston, MA--NH",105,1.299426908162889,1.6667270308667064,False
"Bowling Green, KY",8,1.7453246460335388,1.7084306936519134,False
"Bozeman, MT",9,1.093367085534245,1.5320415375916923,False
"Bradenton--Sarasota--Venice, FL",17,1.9523314690923625,2.4490063644837274,False
"Brainerd, MN",10,1.5736121773022402,1.7994863385717819,False
"Brownsville, TX",11,1.8122856035147568,1.905771782675383,True
"Buffalo, NY",29,1.2234033100536001,1.3006791181515516,False
"Canton, OH",14,1.6606567860193662,2.042610676255572,False
"Cape Coral, FL",16,2.882006288195381,2.6978758471047124,False
"Cedar Rapids, IA",14,2.146841812587635,1.9982156560059425,False
"Champaign, IL",9,1.5148122831344044,3.3601237591955444,False
"Charleston, SC",18,2.3344084835568957,1.5561744084203906,False
"Charleston, WV",14,2.9513001278589925,2.8582404742776735,False
"Charlotte, NC--SC",35,2.5620627003441747,3.7188027488683564,False
"Chattanooga, TN--GA",21,2.2838777966140174,2.3310124392750664,False
"Chicago city, IL",122,1.5885620393191435,2.0380303264787316,False
"Cincinnati, OH--KY",52,2.3038318467453136,3.103283726847945,False
"Clarksville, TN--KY",8,2.5154668497030306,2.2825534148535245,False
"Cleveland, OH",65,1.6987865072508928,2.7120655044246904,False
"Clovis, NM",9,1.3261314902349868,1.7301407851208292,False
"College Station--Bryan, TX",9,1.550779676575855,2.0825904926738983,False
"Colorado Springs, CO",23,1.909309983575205,1.8803833286474159,False
"Columbia, MO",14,1.300096820073758,1.487616006930787,False
"Columbia, SC",31,2.601085605756362,3.51852661799444,False
"Columbus, GA--AL",22,2.727193214117279,2.747261407218226,False
"Columbus, OH",42,1.394247608030876,2.1601088912224715,False
"Creston, IA",8,1.3938678676040028,1.966938776007981,False
"Dallas city, TX",127,1.7675722844187034,3.0269636448260986,True
"Davenport, IA--IL",15,2.233229273956684,2.816536244041415,False
"Dayton, OH",30,1.9345493175380215,2.8095761590860198,True
"Daytona Beach--Palm Coast--Port Orange, FL",11,1.8761542272264637,1.9605999331516029,False
"Denver--Aurora, CO",60,2.250036709938583,3.56422611565133,False
"Des Moines, IA",16,1.51683562107373,2.104115131382032,False
"Detroit, MI",129,1.6843168282090255,2.0393680650173924,False
"Dothan, AL",11,3.661818495743109,4.0060678401310446,False
"Dover, DE",19,1.5395671661191326,1.8505180278073448,False
"Dubuque, IA--IL",9,1.0478408817232914,1.2721132074491015,False
"Duluth, MN--WI",15,2.101877522847787,2.5335144447341977,False
