name,n_hospitals,ambient_pop,area_km2,included
"Akutan city, AK",0,2549.0,18504.781319532172,False
"Buffalo town, SD",0,870.0,6936.722352776522,False
"Condon city, OR",0,3170.0,7612.757259305697,False
"Haines CDP, AK",0,2244.0,6229.421249586567,False
"Hooper Bay city, AK",0,8278.0,46801.50511224097,False
"Hyannis village, NE",0,536.0,2029.2775996759788,False
"Matador town, TX",0,937.0,2563.602605283622,False
"Metlakatla CDP, AK",0,5609.0,15119.86483546613,False
"Sanderson CDP, TX",0,503.0,6106.78851417391,False
"Skagway CDP, AK",0,1320.0,1128.8333485238406,False
"Winnett town, MT",0,340.0,4336.4435076245845,False
"Zapata--Medina, TX",0,13475.0,2740.303957755542,False
"Alice, TX",1,63755.0,12287.219056467402,False
"Alpine, TX",1,17814.0,31888.38803961673,False
"Bethel, AK",1,18256.0,109930.60213706667,False
"Burns, OR",1,6770.0,26488.241862044117,False
"Chester town, MT",1,1945.0,3747.7982503257376,False
"Chincoteague, VA",1,42276.0,2347.0389019603094,False
"Colstrip city, MT",1,10319.0,24107.848564342374,False
"Culebra zona urbana, PR",1,880.0,30.668779826828057,False
"Dickinson, ND",1,41761.0,19689.107383845243,False
"Dillon, MT",1,8897.0,14433.007662208116,False
"Eastpoint CDP, FL",1,10603.0,1467.670203250308,False
"Enterprise city, OR",1,6646.0,8162.400843094106,False
"Friday Harbor, WA",1,15251.0,497.58860818512983,False
"Goodland, KS",1,6893.0,5102.447161956054,False
"Grand Marais city, MN",1,4600.0,4160.873501200791,False
"Gunnison, CO",1,17093.0,11351.40480878415,False
"Harlan, KY",1,26340.0,1212.585340504755,False
"International Falls, MN",1,11013.0,8170.660788471206,False
"John Day city, OR",1,6657.0,11727.941704167231,False
"Jordan town, MT",1,839.0,12558.596441050997,False
"Juneau, AK",1,33501.0,24997.652255239118,False
"Ketchikan, AK",1,11395.0,13368.967031418359,False
"Kodiak--Mill Bay, AK",1,11505.0,18349.40610871314,False
